State,Year,Millions_of_Miles,Fatalities,"Deaths per 100 million vehicle miles traveled",Target
Alabama,2018,71167.2,953,1,725.9
Alabama,2017,70677.2,948,1,720.9
Alabama,2016,69227,1083,2,706.1
Alabama,2015,67257,850,1,686
Alabama,2014,65666.6,820,1,669.8
Alabama,2013,65046.5,853,1,663.5
Alabama,2012,64959.2,865,1,662.6
Alabama,2011,64914.4,895,1,662.1
Alabama,2010,64165.2,862,1,654.5
Alabama,2009,61299.7,848,1,625.3
Alabama,2008,59303,969,2,604.9
Alabama,2007,61410,1110,2,626.4
Alaska,2018,5487.3,80,1,56
Alaska,2017,5518.7,79,1,56.3
Alaska,2016,5258.6,84,2,53.6
Alaska,2015,5045.4,65,1,51.5
Alaska,2014,4856.7,73,2,49.5
Alaska,2013,4848.4,51,1,49.5
Alaska,2012,4792.1,59,1,48.9
Alaska,2011,4593.1,72,2,46.8
Alaska,2010,4798.3,56,1,48.9
Alaska,2009,4933,64,1,50.3
Alaska,2008,4865,62,1,49.6
Alaska,2007,5153,82,2,52.6
Arizona,2018,66144.5,1010,2,674.7
Arizona,2017,65069.6,998,2,663.7
Arizona,2016,65785.7,952,1,671
Arizona,2015,65044.9,897,1,663.5
Arizona,2014,62630.7,773,1,638.8
Arizona,2013,60586.2,849,1,618
Arizona,2012,60129.4,821,1,613.3
Arizona,2011,59575,826,1,607.7
Arizona,2010,59995.2,759,1,612
Arizona,2009,61628,806,1,628.6
Arizona,2008,61628,938,2,628.6
Arizona,2007,62963,1071,2,642.2
Arkansas,2018,36675.3,516,1,374.1
Arkansas,2017,36389.3,525,1,371.2
Arkansas,2016,35754.8,561,2,364.7
Arkansas,2015,34897.3,550,2,356
Arkansas,2014,34024,470,1,347
Arkansas,2013,33493.3,498,1,341.6
Arkansas,2012,33522.1,560,2,341.9
Arkansas,2011,32953,551,2,336.1
Arkansas,2010,33504.4,571,2,341.7
Arkansas,2009,33154.2,596,2,338.2
Arkansas,2008,33163,600,2,338.3
Arkansas,2007,33171,649,2,338.3
California,2018,348795.7,3563,1,3557.7
California,2017,343862.1,3884,1,3507.4
California,2016,340114.9,3837,1,3469.2
California,2015,335538.6,3387,1,3422.5
California,2014,332857.2,3102,1,3395.1
California,2013,329534.1,3107,1,3361.2
California,2012,326271.6,2966,1,3328
California,2011,320783.9,2816,1,3272
California,2010,322849.4,2720,1,3293.1
California,2009,324486,3090,1,3309.8
California,2008,327286,3434,1,3338.3
California,2007,328312,3995,1,3348.8
Colorado,2018,53953.6,632,1,550.3
Colorado,2017,53382.1,648,1,544.5
Colorado,2016,52151.6,608,1,531.9
Colorado,2015,50437.3,547,1,514.5
Colorado,2014,48985.1,488,1,499.6
Colorado,2013,46968.1,482,1,479.1
Colorado,2012,46768.8,474,1,477
Colorado,2011,46606.3,447,1,475.4
